,title,institute,rate,ratingscount,level,enrollment,review_num,required_hour
386,Advanced R Programming,Johns Hopkins University,4.3,544,2,28008,134,18.0
387,How to Win a Data Science Competition: Learn from Top Kagglers,HSE University,4.7,1100,3,103547,270,54.0
388,Preparing for the SAS Programming Certification Exam,SAS,4.8,28,2,,5,16.0
389,Linear Regression and Modeling,Duke University,4.7,1544,1,79007,286,10.0
390,Advanced Business Analytics Capstone,University of Colorado Boulder,4.3,53,0,6892,17,19.0
391,Data Visualization in R with ggplot2,Johns Hopkins University,5.0,53,2,2682,12,13.0
392,Google Cloud Big Data and Machine Learning Fundamentals 日本語版,Google Cloud,4.5,152,2,3882,16,13.0
393,Social Network Analysis,"University of California, Davis",4.7,157,1,,,17.0
394,Машинное обучение в финансах,SberUniversity,4.5,78,2,8769,35,21.0
395,Maps and the Geospatial Revolution,The Pennsylvania State University,4.7,211,1,,,17.0
396,Getting Started with CyberGIS,University of Illinois at Urbana-Champaign,4.5,,1,,,9.0
397,Data Science in Real Life,Johns Hopkins University,4.4,2254,0,,,17.0
398,Moneyball and Beyond,University of Michigan,4.8,12,0,,1,29.0
399,Principles of fMRI 2,Johns Hopkins University,4.7,207,0,,,17.0
400,Introducción al procesamiento de lenguaje natural,Universidad Austral,4.5,6,1,,,13.0
401,Natural Language Processing,HSE University,4.4,783,3,,,17.0
402,Introducción al Análisis de Datos,IBM,4.7,73,1,2605,27,11.0
403,Statistics for Genomic Data Science,Johns Hopkins University,4.2,296,0,,,17.0
404,Probabilistic Graphical Models 3: Learning,Stanford University,4.6,291,3,18191,51,66.0
405,Using Machine Learning in Trading and Finance,New York Institute of Finance,4.0,268,2,14169,69,19.0
406,Reinforcement Learning for Trading Strategies,New York Institute of Finance,3.7,172,2,9841,47,12.0
407,Advanced SAS Programming Techniques,SAS,4.9,44,2,,11,17.0
408,Data Analysis with R,IBM,4.9,16,2,1801,3,13.0
409,Прикладные задачи анализа данных,Moscow Institute of Physics and Technology,4.3,729,2,18131,112,28.0
410,3D Data Visualization for Science Communication,University of Illinois at Urbana-Champaign,4.5,,1,2920,,32.0
411,Exploratory Data Analysis,Johns Hopkins University,4.7,5908,0,,,17.0
412,Art and Science of Machine Learning,Google Cloud,4.6,1365,2,21971,119,19.0
413,Creating Advanced Reports with SAS Visual Analytics,SAS,4.7,165,2,7809,21,9.0
